"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "Properties", "PostCSS", "JavaScript JSX", "HTML", "comment", "blank", "total"
"g:\chat-application\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"g:\chat-application\backend\Routes\groupRoutes.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"g:\chat-application\backend\Routes\messageRoutes.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"g:\chat-application\backend\Routes\userRoutes.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"g:\chat-application\backend\controllers\emailVerifyController.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 7, 38
"g:\chat-application\backend\controllers\getAllUsers.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 3, 5, 23
"g:\chat-application\backend\controllers\groupController.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"g:\chat-application\backend\controllers\loginCntroller.js", "JavaScript", 0, 0, 47, 0, 0, 0, 0, 0, 5, 10, 62
"g:\chat-application\backend\controllers\messageController.js", "JavaScript", 0, 0, 74, 0, 0, 0, 0, 0, 0, 17, 91
"g:\chat-application\backend\controllers\registerController.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 12, 54
"g:\chat-application\backend\controllers\userController.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 8, 40
"g:\chat-application\backend\db\db.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"g:\chat-application\backend\index.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 13, 48
"g:\chat-application\backend\middleware\protect.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"g:\chat-application\backend\models\groupModel.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 4, 24
"g:\chat-application\backend\models\messageModel.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"g:\chat-application\backend\models\tokenModel.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"g:\chat-application\backend\models\userModel.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"g:\chat-application\backend\package-lock.json", "JSON", 1920, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1921
"g:\chat-application\backend\package.json", "JSON", 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
